Ticket ID,Sprint,Epic,Title,Story Points,Owner Role,Dependencies,Description,Acceptance Criteria,Verification Commands,Labels
UX26-S0-001,S0,EPIC-UX-MEASURE,Instrument UX baseline events,5,Full-stack Engineer,,Capture baseline events for login SSO induction and admin navigation usage,"Event taxonomy implemented; PII-safe payloads only; Baseline funnel report generated","npm run -w apps/web lint; npm run -w apps/web typecheck; npm run -w apps/web test; npm run -w apps/web test:integration; npm run -w apps/web test:e2e:smoke; npm run guardrails-lint && npm run guardrails-tests && npm run policy-check","uiux-2026,measurement"
UX26-S0-002,S0,EPIC-UX-MEASURE,Top-20 route heuristic audit,3,Product Designer,UX26-S0-001,Audit highest-traffic routes and rank UX issues by severity and effort,"Top 20 routes audited; Severity-ranked issue list published; Screenshot evidence linked","npm run -w apps/web test:visual","uiux-2026,research"
UX26-S0-003,S0,EPIC-UX-GOVERN,Rollout flags and kill-switch map,3,Tech Lead,UX26-S0-001,Define feature flag controls for each sprint deliverable with rollback mapping,"Flags created with safe defaults; Kill-switch runbook updated; Invalid flags fail safe","npm run -w apps/web lint; npm run -w apps/web typecheck; npm run guardrails-lint && npm run guardrails-tests && npm run policy-check","uiux-2026,governance,feature-flag"
UX26-S1-001,S1,EPIC-GFX-SYSTEM,Token-first migration for admin surfaces,8,Frontend Engineer,UX26-S0-003,Replace legacy one-off admin styling with shared tokenized classes,"bg-white usage reduced by >=90 percent; Shared primitives used for controls and surfaces; No contrast regression in both themes","npm run -w apps/web lint; npm run -w apps/web typecheck; npm run -w apps/web test; npm run -w apps/web test:visual","uiux-2026,graphic,design-system"
UX26-S1-002,S1,EPIC-GFX-SYSTEM,Auth and public shell visual refresh,5,Frontend Engineer,UX26-S1-001,Unify visual language between auth and public sign-in shell across desktop and mobile,"Auth and public shells use same brand primitives; Mobile and desktop snapshots approved; Reduced motion preserved","npm run -w apps/web test:e2e:stable:mobile-chrome; npm run -w apps/web test:visual","uiux-2026,graphic,auth"
UX26-S1-003,S1,EPIC-UI-HIERARCHY,High-traffic page hierarchy standardization,5,Frontend Engineer,UX26-S1-001,Apply consistent page hierarchy pattern to dashboard sites and live register,"Context label headline primary action and status summary pattern applied; Typography spacing follows tokens; Visual baseline updated","npm run -w apps/web test:visual; npm run -w apps/web test:e2e:smoke","uiux-2026,ui,hierarchy"
UX26-S2-001,S2,EPIC-UX-CONVERSION,Split login intent Password vs SSO,5,Frontend Engineer,UX26-S1-002,Reduce login cognitive load by letting users choose auth path before fields render,"Two clear entry options shown first; Only relevant fields shown per mode; Existing auth and redirect security unchanged","npm run -w apps/web test; npm run -w apps/web test:e2e -- e2e/admin-auth.spec.ts","uiux-2026,ux,conversion,auth"
UX26-S2-002,S2,EPIC-UX-CONVERSION,Unified loading empty error states,5,Frontend Engineer,UX26-S1-003,Create shared async page-state components and adopt on top admin routes,"Shared components implemented; Top 10 admin routes migrated; Error states remain deterministic and non-sensitive","npm run -w apps/web test; npm run -w apps/web test:e2e:smoke","uiux-2026,ux,consistency"
UX26-S2-003,S2,EPIC-UI-NAV,Reduce admin IA cognitive load,8,Frontend Engineer,UX26-S2-002,Reorganize visible admin navigation with progressive disclosure and search-first fallback,"Visible top-level labels <=22 from baseline 35; Command palette still complete and role-aware; Keyboard nav retained","npm run -w apps/web test; npm run -w apps/web test:e2e -- e2e/command-mode.spec.ts","uiux-2026,ui,information-architecture"
UX26-S3-001,S3,EPIC-MOBILE-ADMIN,Mobile-first admin navigation shell,8,Frontend Engineer,UX26-S2-003,Redesign mobile admin shell for quick task switching and clear location context,"Core tasks reachable in <=2 taps; Current route context always visible; Mobile focus order passes accessibility checks","npm run -w apps/web test:e2e:stable:mobile-chrome; npm run -w apps/web test:visual","uiux-2026,mobile-admin,navigation"
